,portfolio_value
2015-05-01,132239.12992210698
2015-05-04,130522.13622409059
2015-05-05,129914.10299992621
2015-05-06,130509.70631452472
2015-05-07,132202.79696896818
2015-05-08,132144.40327689328
2015-05-11,131483.87751276555
2015-05-12,131326.59030560506
2015-05-13,133181.73796565627
2015-05-14,133455.6542978336
2015-05-15,134188.69110730066
2015-05-18,134831.21191118134
2015-05-19,135024.20439463356
2015-05-20,134965.05971961457
2015-05-21,134614.86898921456
2015-05-22,133312.16023208905
2015-05-26,134823.4312040022
2015-05-27,134913.7052521519
2015-05-28,134589.97071706885
2015-05-29,135055.33376776427
2015-06-01,134272.46787467087
2015-06-02,134172.02253272376
2015-06-03,133120.3671038922
2015-06-04,132562.81693308175
2015-06-05,131758.39484645112
2015-06-08,131758.58652854964
2015-06-09,133431.39098902128
2015-06-10,133365.2961529235
2015-06-11,132685.02667062744
2015-06-12,132007.76125471707
2015-06-15,132766.66859597393
2015-06-16,132810.8736249892
2015-06-17,134006.38910785143
2015-06-18,132836.52862823659
2015-06-19,133731.96776707162
2015-06-22,134139.66960871892
2015-06-23,132998.98352063604
2015-06-24,132757.24552262353
2015-06-25,132557.99987438196
2015-06-26,129454.61554745612
2015-06-29,129990.46077049567
2015-06-30,131107.4414374448
2015-07-01,130690.05196349022
2015-07-02,130446.31695333365
2015-07-06,130631.39582616999
2015-07-07,128374.84843420505
2015-07-08,129025.42461306845
2015-07-09,130817.2977086549
2015-07-10,132207.06457104447
2015-07-13,132382.62063370546
2015-07-14,132347.07154717643
2015-07-15,133599.41629388763
2015-07-16,133313.01198539595
2015-07-17,133519.52993930757
2015-07-20,133375.2335325618
2015-07-21,133909.82374841388
2015-07-22,133091.10540779814
2015-07-23,129746.57299002778
2015-07-24,128932.83722856801
2015-07-27,130661.52560969251
2015-07-28,131261.6469511321
2015-07-29,131448.60048011696
2015-07-30,131888.4731779066
2015-07-31,131662.54848045003
2015-08-03,131949.99028630985
2015-08-04,130615.66800576003
2015-08-05,128398.28318394988
2015-08-06,127985.0795433993
2015-08-07,128815.5482725819
2015-08-10,127541.78424162234
2015-08-11,126958.38498055343
2015-08-12,126864.27905788262
2015-08-13,127216.02436745865
2015-08-14,128028.57739734593
2015-08-17,127978.75341585267
2015-08-18,127832.5794079973
2015-08-19,125622.15893369706
2015-08-20,124101.41048487436
2015-08-21,119484.72598424989
2015-08-24,119484.72598424989
2015-08-25,119484.72598424989
2015-08-26,119484.72598424989
2015-08-27,119484.72598424989
2015-08-28,117559.06022923737
2015-08-31,117559.06022923737
2015-09-01,117559.06022923737
2015-09-02,117559.06022923737
2015-09-03,117559.06022923737
2015-09-04,117559.06022923737
2015-09-08,117559.06022923737
2015-09-09,117559.06022923737
2015-09-10,117559.06022923737
2015-09-11,117559.06022923737
2015-09-14,117559.06022923737
2015-09-15,117559.06022923737
2015-09-16,117559.06022923737
2015-09-17,116829.18621331464
2015-09-18,117330.29411877852
2015-09-21,115870.53777572105
2015-09-22,116331.30595953431
2015-09-23,115717.41389878503
2015-09-24,116880.08039222
2015-09-25,116196.4744150581
2015-09-28,116299.18479933732
2015-09-29,116299.18479933732
2015-09-30,114918.32348919298
2015-10-01,114918.32348919298
2015-10-02,116464.00097471592
2015-10-05,115623.2750020685
2015-10-06,115268.18973063219
2015-10-07,116235.76975785148
2015-10-08,115959.31558232613
2015-10-09,116612.75446758955
2015-10-12,116311.48225772078
2015-10-13,116306.29083091981
2015-10-14,117963.28402297667
2015-10-15,118222.99802830427
2015-10-16,118212.60714517473
2015-10-19,118540.2381532268
2015-10-20,118358.5043965775
2015-10-21,119755.29593109469
2015-10-22,118096.05985539564
2015-10-23,118129.69175450417
2015-10-26,117777.92180779217
2015-10-27,118614.35212412692
2015-10-28,118466.48300522444
2015-10-29,117559.64790926244
2015-10-30,118553.60376414425
2015-11-02,117327.48316459222
2015-11-03,117435.94981030043
2015-11-04,117061.81903783284
2015-11-05,117541.26943612433
2015-11-06,116362.30011805166
2015-11-09,115524.45274580747
2015-11-10,115482.00634828121
2015-11-11,114427.20761300901
2015-11-12,112127.4072978533
2015-11-13,113721.39233551768
2015-11-16,113482.11661318621
2015-11-17,115278.9482159054
2015-11-18,115637.26818986544
2015-11-19,116559.11963688364
2015-11-20,115976.1587464414
2015-11-23,115695.62182924303
2015-11-24,115435.04444539154
2015-11-25,115671.30760825981
2015-11-27,115360.60502626076
2015-11-30,116836.32224989549
2015-12-01,115315.87325769948
2015-12-02,113775.16307945807
2015-12-03,116377.01837387659
2015-12-04,115868.03699797236
2015-12-07,115624.13604232253
2015-12-08,114196.61970039141
2015-12-09,114010.73211390506
2015-12-10,111652.50802440742
2015-12-11,112420.35873665712
2015-12-14,112969.82861288592
2015-12-15,114724.70312172802
2015-12-16,113016.12803239906
2015-12-17,111024.26971336428
2015-12-18,111997.60944194176
2015-12-21,112903.66884860666
2015-12-22,114365.36403305425
2015-12-23,114229.04804597537
2015-12-24,113980.39135914271
2015-12-28,115041.57381900519
2015-12-29,114221.09547322274
2015-12-30,113162.85185885211
2015-12-31,111690.57324301654
2016-01-04,112576.6445773084
2016-01-05,110777.21366279337
2016-01-06,108978.7983730424
2016-01-07,107806.36435277777
2016-01-08,108649.0407884255
2016-01-11,108534.83868885483
2016-01-12,108534.83868885483
2016-01-13,108534.83868885483
2016-01-14,108534.83868885483
2016-01-15,108534.83868885483
2016-01-19,108534.83868885483
2016-01-20,108534.83868885483
2016-01-21,108534.83868885483
2016-01-22,108176.83053464782
2016-01-25,110260.4615195298
2016-01-26,111176.96155058805
2016-01-27,111241.40168182547
2016-01-28,113217.62243599888
2016-01-29,114270.17776312673
2016-02-01,112967.02078827596
2016-02-02,114711.40371823148
2016-02-03,114283.87361280991
2016-02-04,114822.80136353553
2016-02-05,114373.84373458097
2016-02-08,113567.94735384925
2016-02-09,113193.10072070372
2016-02-10,111854.92099275562
2016-02-11,112882.52004089065
2016-02-12,113478.06406060423
2016-02-16,113543.81630044596
2016-02-17,114888.92673442679
2016-02-18,114073.21420005523
2016-02-19,114974.70644440626
2016-02-22,114670.67574035499
2016-02-23,115357.49466725942
2016-02-24,116337.7619451455
2016-02-25,114077.54552029214
2016-02-26,113633.28528136725
2016-02-29,114142.4598293572
2016-03-01,115165.38764377435
2016-03-02,115587.03910990758
2016-03-03,115917.81068916789
2016-03-04,116639.59113113927
2016-03-07,116984.01607032989
2016-03-08,117225.35125351914
2016-03-09,117522.25119350143
2016-03-10,117781.54585123222
2016-03-11,117805.18145611798
2016-03-14,118048.17991885517
2016-03-15,119205.16337414274
2016-03-16,120211.76138077475
2016-03-17,119263.94872650581
2016-03-18,119477.76650871676
2016-03-21,118934.29101441799
2016-03-22,119031.00138808535
2016-03-23,119743.23613775031
2016-03-24,119569.43489923295
2016-03-28,121070.32190253622
2016-03-29,120926.5088488619
2016-03-30,121063.28114630467
2016-03-31,121178.37744331885
2016-04-01,121490.79500976141
2016-04-04,120315.48168899618
2016-04-05,119197.34681120946
2016-04-06,117799.03949320882
2016-04-07,118009.85573029632
2016-04-08,117452.93189765973
2016-04-11,118359.6080003571
2016-04-12,117758.68810923149
2016-04-13,117780.114473634
2016-04-14,118155.54038544736
2016-04-15,118646.74909938284
2016-04-18,119564.8968842095
2016-04-19,118171.36325020599
2016-04-20,116849.71853370423
2016-04-21,117659.04550196331
2016-04-22,116977.09808573025
2016-04-25,118219.98231245614
2016-04-26,119044.77677043108
2016-04-27,117819.83525363673
2016-04-28,117234.28231917463
2016-04-29,117690.8080894475
2016-05-02,116319.4059089703
2016-05-03,116231.42732381591
2016-05-04,116228.18298807864
2016-05-05,116941.3973289131
2016-05-06,117462.31362726673
2016-05-09,118024.74714747696
2016-05-10,115601.57591635938
2016-05-11,116300.47493388072
2016-05-12,114995.00199396115
2016-05-13,116137.55404061625
2016-05-16,114826.7094752915
2016-05-17,113274.00605497499
2016-05-18,112854.52417527974
2016-05-19,113418.15984363195
2016-05-20,112939.49888196528
2016-05-23,113809.89064115725
2016-05-24,114821.02263251325
2016-05-25,114233.62979474176
2016-05-26,114431.13579481211
2016-05-27,114314.2104569637
2016-05-31,114535.08363591944
2016-06-01,114721.02685660566
2016-06-02,114654.63219255714
2016-06-03,115434.1548681162
2016-06-06,115655.1653394238
2016-06-07,115907.05200692697
2016-06-08,115589.58951528113
2016-06-09,114462.30867902785
2016-06-10,113719.9117797405
2016-06-13,113921.82499073382
2016-06-14,113211.7323694904
2016-06-15,113517.71989367725
2016-06-16,113566.72127717495
2016-06-17,114090.7807433472
2016-06-20,114680.2261078109
2016-06-21,114134.1576960057
2016-06-22,115758.61691309256
2016-06-23,111952.20313946794
2016-06-24,109511.00976611116
2016-06-27,111294.7859436952
2016-06-28,112562.18918559804
2016-06-29,114329.74171215382
2016-06-30,114680.2222472817
2016-07-01,114354.311037194
2016-07-05,114462.03595327474
2016-07-06,112915.97071162099
2016-07-07,114033.9074582843
2016-07-08,113928.96365689814
2016-07-11,113642.33466281854
2016-07-12,114058.61977004906
2016-07-13,113950.96785261163
2016-07-14,114096.8806413397
2016-07-15,114189.3749027176
2016-07-18,113998.09009358243
2016-07-19,113730.45508834325
2016-07-20,113678.51308374012
2016-07-21,114944.25816090641
2016-07-22,114648.21064898385
2016-07-25,113774.51035127188
