,0
2012-07-20,-0.0024584862833699063
2012-07-23,-0.01990205332274612
2012-07-24,0.009729702445836765
2012-07-25,0.026309953990591516
2012-07-26,0.01532666878388765
2012-07-27,0.005659625333844428
2012-07-30,0.003714907344260027
2012-07-31,-0.004561639539278024
2012-08-01,-0.010968833941753216
2012-08-02,0.004633601342191929
2012-08-03,0.004807004174607998
2012-08-06,-0.0060123656569507355
2012-08-07,-0.0020813484502032464
2012-08-08,0.001955309040467368
2012-08-09,0.0016225773158984247
2012-08-10,0.0025010310544159664
2012-08-13,-0.0018402160970740222
2012-08-14,-0.00032592104654231564
2012-08-15,-0.0040205586471893096
2012-08-16,0.0017573760450853488
2012-08-17,-0.005795681257378943
2012-08-20,-0.007907420995774551
2012-08-21,-0.0009408877943043756
2012-08-22,-0.00624643910386174
